Season,Date,GameID,posteam,DefensiveTeam,qtr,down,ydstogo,yrdline100,PlayType,Yards.Gained,PassLocation,RunLocation,RushAttempt,PassAttempt,QBHit,Touchdown,Fumble,InterceptionThrown,Accepted.Penalty,Penalty.Yards,PenaltyType,PenalizedTeam,PenaltySide
2009,2009-09-27,2009092710,CHI,SEA,2,2.0,5,57.0,Run,1,,middle,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,3.0,4,56.0,Pass,0,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,4.0,4,56.0,Punt,6,,,0,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,1.0,15,71.0,Pass,23,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,1.0,10,48.0,Run,5,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,2.0,5,43.0,Pass,19,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,1.0,10,24.0,Run,8,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,2.0,2,16.0,Run,1,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,3.0,1,15.0,Pass,6,middle,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,1.0,9,9.0,Run,-2,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,2.0,11,11.0,Pass,10,middle,,0,1,0,0,1,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,3.0,1,1.0,Run,0,,middle,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,4.0,1,1.0,Pass,1,right,,0,1,0,1,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,1.0,10,67.0,Run,-1,,middle,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,3,1.0,10,42.0,Run,7,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,3,2.0,3,35.0,Pass,22,middle,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,3,1.0,10,13.0,Run,5,,middle,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,3,2.0,5,8.0,Run,1,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,3,3.0,4,7.0,Pass,7,right,,0,1,0,1,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,3,1.0,10,76.0,Pass,4,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,3,2.0,6,72.0,Pass,0,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,3,3.0,6,72.0,Pass,0,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,3,4.0,6,72.0,Punt,0,,,0,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,3,1.0,10,14.0,Run,2,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,3,2.0,8,12.0,Pass,4,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,3,3.0,4,8.0,Sack,-10,,,0,0,1,0,1,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,3,4.0,15,19.0,Field Goal,0,,,0,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,4,1.0,10,80.0,Run,3,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,4,2.0,7,77.0,Run,6,,middle,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,4,3.0,1,71.0,Run,-1,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,4,4.0,2,72.0,Punt,-3,,,0,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,4,1.0,10,71.0,Pass,9,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,4,2.0,1,62.0,Run,6,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,4,1.0,10,56.0,Run,-2,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,4,2.0,12,58.0,Pass,3,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,4,3.0,9,55.0,Sack,-3,,,0,0,1,0,1,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,4,1.0,10,71.0,Pass,5,middle,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,4,2.0,5,66.0,Run,11,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,4,1.0,10,55.0,Pass,7,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,4,2.0,3,48.0,Run,9,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,4,1.0,10,39.0,Run,3,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,4,2.0,7,36.0,Pass,36,left,,0,1,0,1,0,0,1,15,UNKNOWN,SEA,Defensive
2009,2009-09-27,2009092710,CHI,SEA,4,1.0,0,2.0,Pass,0,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,4,1.0,10,71.0,QB Kneel,-1,,,0,0,0,0,0,0,0,0,,,None
2009,2009-10-04,2009100400,CHI,DET,1,1.0,10,73.0,Pass,7,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-10-04,2009100400,CHI,DET,1,2.0,3,66.0,Run,61,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-10-04,2009100400,CHI,DET,1,1.0,5,5.0,Run,0,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-10-04,2009100400,CHI,DET,1,2.0,5,5.0,Pass,0,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-10-04,2009100400,CHI,DET,1,3.0,5,5.0,Run,5,,left,1,0,0,1,0,0,0,0,,,None
